year,category,rank,name,country,performance_1,performance_2,performance_3,performance_4,skill_1,skill_2,skill_3,skill_4,deductions,overall,Remarks
"August 06, 2019",Preliminary,1,The Royal Family,New Zealand,4.20,4.23,4.05,3.35,4.07,4.01,3.68,3.79,,,
"August 06, 2019",Preliminary,2,J.B.Star,Japan,3.92,4.17,3.85,3.40,4.19,4.06,4.05,4.11,,,
"August 06, 2019",Preliminary,3,Kana-Boon! All Star,Japan,4.35,4.08,4.50,3.49,4.25,4.13,4.44,4.30,0.60,,"Deductions: Entire crew not on stage min. 30 seconds at open - 0.5, Lewd Gestures - 0.10"
"August 06, 2019",Preliminary,4,Legit Status,Philippines,4.12,3.84,3.70,3.57,3.88,3.32,4.13,4.18,,,
"August 06, 2019",Preliminary,5,La Docta,Argentina,3.84,3.70,3.57,3.77,3.88,3.32,4.13,4.18,,,
"August 06, 2019",Preliminary,6,Saintz Dance Academy,New Zealand,3.77,3.80,3.75,3.20,3.68,3.78,3.80,3.89,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,7,C-Fam,Netherlands,3.90,3.82,3.90,3.16,3.99,3.85,3.21,3.31,,,
"August 06, 2019",Preliminary,8,Klimax,Spain,3.53,3.85,4.05,3.23,3.69,3.67,3.64,3.53,,,
"August 06, 2019",Preliminary,9,Art of Motion,Russia,3.98,3.74,2.35,3.18,3.93,3.72,4.03,3.92,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,10,Yung ID,New Zealand,3.98,3.85,3.00,3.21,4.03,3.54,3.96,3.39,,,
"August 06, 2019",Preliminary,11,IMD Legion,United Kingdom,3.88,3.95,3.45,3.19,3.82,3.49,3.57,3.41,,,
"August 06, 2019",Preliminary,12,Mexa Urban Company,Mexico,3.76,4.02,2.90,3.23,3.62,3.80,3.72,3.37,,,
"August 06, 2019",Preliminary,13,SPQR,Italy,3.28,3.72,3.60,3.21,3.86,3.59,4.05,3.59,,,
