Year,category,name,country,performance_1,performance_2,performance_3,performance_4,skill_1,skill_2,skill_3,skill_4,deductions,overall,Remarks
"August 06, 2019",Preliminary,The Royal Family,New Zealand,4.20,4.23,4.05,3.35,4.07,4.01,3.68,3.79,,,
"August 06, 2019",Preliminary,J.B.Star,Japan,3.92,4.17,3.85,3.40,4.19,4.06,4.05,4.11,,,
"August 06, 2019",Preliminary,Kana-Boon! All Star,Japan,4.35,4.08,4.50,3.49,4.25,4.13,4.44,4.30,0.60,,"Deductions: Entire crew not on stage min. 30 seconds at open - 0.5, Lewd Gestures - 0.10"
"August 06, 2019",Preliminary,Legit Status,Philippines,4.12,3.84,3.70,3.57,3.88,3.32,4.13,4.18,,,
"August 06, 2019",Preliminary,La Docta,Argentina,3.84,3.70,3.57,3.77,3.88,3.32,4.13,4.18,,,
"August 06, 2019",Preliminary,Saintz Dance Academy,New Zealand,3.77,3.80,3.75,3.20,3.68,3.78,3.80,3.89,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,C-Fam,Netherlands,3.90,3.82,3.90,3.16,3.99,3.85,3.21,3.31,,,
"August 06, 2019",Preliminary,Klimax,Spain,3.53,3.85,4.05,3.23,3.69,3.67,3.64,3.53,,,
"August 06, 2019",Preliminary,Art of Motion,Russia,3.98,3.74,2.35,3.18,3.93,3.72,4.03,3.92,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,Yung ID,New Zealand,3.98,3.85,3.00,3.21,4.03,3.54,3.96,3.39,,,
"August 06, 2019",Preliminary,IMD Legion,United Kingdom,3.88,3.95,3.45,3.19,3.82,3.49,3.57,3.41,,,
"August 06, 2019",Preliminary,Mexa Urban Company,Mexico,3.76,4.02,2.90,3.23,3.62,3.80,3.72,3.37,,,
"August 06, 2019",Preliminary,SPQR,Italy,3.28,3.72,3.60,3.21,3.86,3.59,4.05,3.59,,,
"August 06, 2019",Preliminary,Power Impact Dancers,Philippines,3.77,3.82,4.05,3.33,3.68,3.42,3.31,3.20,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,The Lab,USA,3.70,3.94,3.20,3.32,3.84,3.46,3.69,3.60,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,Flash,Taiwan,3.73,3.81,3.35,3.18,3.51,3.83,3.60,3.46,,,
"August 06, 2019",Preliminary,L.I.V.E. Army,Canada,3.43,3.47,3.70,3.18,4.06,3.80,3.36,3.40,,,
"August 06, 2019",Preliminary,BTG Family,Mexico,3.17,3.95,3.45,3.31,3.80,2.98,4.25,3.64,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,Urban Squad Megacrew,Thailand,2.88,3.60,3.60,3.24,3.64,3.51,3.24,3.62,,,
"August 06, 2019",Preliminary,ZN Crew,South Korea,2.90,4.00,3.55,3.05,4.01,3.85,3.48,3.45,,,
"August 06, 2019",Preliminary,Wolfpack,Australia,3.66,3.65,3.40,3.11,3.50,3.62,3.35,3.00,,,
"August 06, 2019",Preliminary,Cool Giraffes,Canada,3.24,3.73,3.10,3.29,3.73,3.80,3.18,3.70,0.10,,Deductions: Lewd Gestures - 0.10
"August 06, 2019",Preliminary,Mixers,Spain,3.24,3.67,3.25,3.16,3.49,3.62,3.71,3.51,,,
"August 06, 2019",Preliminary,KCC,Australia,3.80,3.10,3.25,3.21,3.91,3.57,3.54,3.33,,,
"August 06, 2019",Preliminary,Regulu's,Japan,3.56,3.35,3.25,2.72,3.57,3.81,3.39,3.34,,,
"August 06, 2019",Preliminary,Studio 51,Philippines,3.16,3.29,2.75,3.22,3.89,3.74,3.53,3.33,0.05,,Deductions: Attire not Intact - 0.05
"August 06, 2019",Preliminary,Millenium Crew,Brazil,3.37,3.60,2.95,2.87,3.53,3.86,3.66,3.25,,,
"August 06, 2019",Preliminary,Maker Empire,USA,3.15,3.90,2.75,3.21,3.65,3.70,3.49,3.38,,,
"August 06, 2019",Preliminary,Royalty,Dominican Republic,3.36,3.45,2.70,3.21,3.58,3.53,3.46,2.92,0.05,,Deductions: Minor Fall (1 @ 0.05 each) - 0.05
"August 06, 2019",Preliminary,ADS,Dominican Republic,3.28,3.57,3.50,3.16,3.53,3.22,3.27,3.07,,,
"August 06, 2019",Preliminary,V MO,USA,3.18,3.85,3.50,3.05,3.49,3.02,3.49,2.87,,,
"August 06, 2019",Preliminary,Uniqty,Thailand,3.21,3.09,2.85,3.12,3.49,3.02,3.49,2.87,,,
"August 06, 2019",Preliminary,Imperio Family Crew,Peru,2.35,3.37,3.50,2.95,3.55,3.48,3.33,3.19,,,
"August 06, 2019",Preliminary,Elite Cybernetikos,Brazil,3.36,2.99,3.15,3.06,3.51,3.48,3.30,3.30,,,
"August 06, 2019",Preliminary,G-Run,Thailand,3.13,2.99,2.95,3.22,3.37,3.50,3.47,3.22,,,
"August 06, 2019",Preliminary,Kookies N Kreme,Australia,3.00,3.62,3.25,3.03,3.69,3.51,3.14,3.45,0.20,,Deductions: Language (2 @ 0.10 each) - 0.20
"August 06, 2019",Preliminary,RP Nation,Portugal,3.60,2.63,2.10,3.12,3.56,3.10,3.26,3.40,,,
"August 06, 2019",Preliminary,La Zona,Costa Rica,2.18,3.32,3.35,2.64,3.29,2.95,3.25,3.06,,,
"August 06, 2019",Preliminary,Mega Unity,France,3.37,3.01,2.85,2.63,3.05,3.24,2.85,3.29,,,
"August 06, 2019",Preliminary,Genesis,Israel,2.35,2.74,2.95,2.98,3.06,2.97,3.11,2.58,,,
"August 06, 2019",Preliminary,PNL Dance Co.,Canada,2.75,2.84,2.30,2.82,3.20,3.01,3.15,2.86,,,
"August 06, 2019",Preliminary,We Are One,Spain,3.03,2.85,2.25,2.58,2.90,3.40,2.97,3.20,,,
"August 06, 2019",Preliminary,Equality,Switzerland,2.77,2.48,2.85,2.44,2.97,3.44,3.18,3.13,,,
"August 06, 2019",Preliminary,Mr.Frog,Taiwan,2.73,2.78,2.45,2.55,3.15,2.80,3.08,2.92,,,
"August 06, 2019",Preliminary,Fabulous Megacrew,Argentina,2.87,2.89,2.55,2.66,3.13,2.72,3.20,2.65,0.10,,Deductions: Major Fall (1 @ 0.10 each) - 0.1
"August 06, 2019",Preliminary,Diversity Dance Company,Argentina,2.52,3.04,2.60,2.46,3.01,3.01,3.13,3.06,,,
"August 06, 2019",Preliminary,Rebounce,Belgium,2.88,3.24,2.85,2.71,3.15,3.42,3.38,2.65,0.55,,"Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5, Inappropriate Clothing - 0.05"
"August 06, 2019",Preliminary,Trashers Mega Crew,Peru,1.60,2.85,2.65,2.55,3.33,2.58,3.10,2.79,,,
"August 06, 2019",Preliminary,Salvador,Ireland,2.00,2.42,2.45,2.38,2.90,2.94,2.78,2.64,,,
"August 06, 2019",Preliminary,Los Chicanos,France,2.96,2.88,2.50,2.72,2.95,2.84,2.89,3.24,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,Mata Dance Crew,Fiji,1.90,2.82,2.55,2.52,2.47,2.89,2.78,2.10,,,
"August 06, 2019",Preliminary,Z Effect,Trinidad & Tobago,1.92,2.36,2.60,2.25,3.00,2.70,2.87,2.43,,,
"August 06, 2019",Preliminary,XO Family,South Africa,2.33,2.71,2.35,2.47,2.61,2.65,3.15,2.45,,,
"August 06, 2019",Preliminary,Natural Family,Colombia,3.35,2.75,2.45,2.44,2.95,2.72,3.22,2.18,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,Apasionarte,Bolivia,1.96,2.54,2.30,2.53,2.44,2.30,2.78,2.23,,,
"August 06, 2019",Preliminary,LD Crew,Switzerland,2.73,2.53,2.45,2.68,2.93,2.35,2.92,2.23,0.05,,Deductions: Entire crew not on Stage min. 30 seconds at open - 0.5
"August 06, 2019",Preliminary,Brothers Junior,Romania,2.10,2.47,2.30,2.21,2.39,2.11,2.72,2.46,,,
"August 08, 2019",Semi-Finals,Kana-Boon! All Star,Japan,4.12,4.24,3.95,3.74,4.40,4.10,4.37,4.26,,,
"August 08, 2019",Semi-Finals,Legit Status,Philippines,4.08,4.02,3.85,3.63,4.13,3.91,4.06,3.97,,,
"August 08, 2019",Semi-Finals,The Jukebox,Mexico,3.97,4.21,3.30,3.55,4.41,4.09,4.24,4.15,,,Defending Champions (HHI 2018)
"August 08, 2019",Semi-Finals,J.B.Star,Japan,3.94,4.13,3.30,3.44,4.20,3.89,4.04,4.06,,,
"August 08, 2019",Semi-Finals,The Royal Family,New Zealand,3.87,4.23,3.35,3.54,4.14,4.09,3.75,3.85,,,
"August 08, 2019",Semi-Finals,La Docta,Argentina,3.77,3.50,3.50,3.47,4.25,3.93,3.91,3.56,,,
"August 08, 2019",Semi-Finals,Klimax,Spain,3.57,3.68,3.68,3.32,3.90,3.87,3.84,3.53,,,
"August 08, 2019",Semi-Finals,C-Fam,Netherlands,3.92,3.57,3.57,3.49,4.01,3.98,3.53,3.45,,,
"August 08, 2019",Semi-Finals,Art of Motion,Russia,3.69,3.17,3.17,3.39,3.80,3.91,3.79,3.76,,,
"August 08, 2019",Semi-Finals,The Lab,USA,3.29,3.38,3.38,3.49,3.67,3.94,3.80,3.93,,,
"August 08, 2019",Semi-Finals,IMD Legion,United Kingdom,3.64,3.31,3.31,3.22,3.86,3.76,4.02,3.38,,,
"August 08, 2019",Semi-Finals,SPQR,Italy,3.30,3.26,3.26,3.32,3.91,3.87,4.05,3.91,,,
"August 08, 2019",Semi-Finals,Saintz Dance Academy,New Zealand,3.75,3.57,3.57,3.23,3.74,3.60,3.41,3.32,,,
"August 08, 2019",Semi-Finals,Power Impact Dancers,Philippines,3.61,3.51,3.29,3.18,3.75,3.62,3.62,3.93,,,
"August 08, 2019",Semi-Finals,Yung ID,New Zealand,3.47,3.82,3.13,3.26,3.94,4.00,4.08,3.36,0.05,,Deductions: Attire not Intact - 0.05
"August 08, 2019",Semi-Finals,Mexa Urban Company,Mexico,3.48,3.61,2.40,3.07,3.68,3.79,3.79,3.53,,,
"August 08, 2019",Semi-Finals,Flash,Taiwan,3.47,3.26,3.11,3.34,3.74,3.48,3.40,3.69,,,
"August 08, 2019",Semi-Finals,L.I.V.E. Army,Canada,3.43,3.14,3.43,3.32,3.69,3.41,3.41,3.35,,,
"August 08, 2019",Semi-Finals,BTG Family,Mexico,3.21,3.26,3.13,3.17,3.72,4.05,4.05,3.74,,,
"August 08, 2019",Semi-Finals,ZN Crew,South Korea,3.32,3.23,3.30,3.21,3.70,3.61,3.61,3.34,,,
"August 08, 2019",Semi-Finals,Urban Squad Megacrew,Thailand,3.00,3.11,3.10,3.23,3.61,3.37,3.37,3.05,,,
"August 08, 2019",Semi-Finals,Wolfpack,Australia,3.53,3.17,3.08,3.15,3.64,3.32,3.32,3.29,,,
"August 08, 2019",Semi-Finals,Mixers,Spain,3.24,3.17,2.50,3.04,3.62,3.40,3.40,3.02,,,
"August 08, 2019",Semi-Finals,Cool Giraffes,Canada,3.29,3.18,3.85,3.03,3.66,3.32,3.32,3.25,,,
"August 10, 2019",Finals,Kana-Boon! All Star,Japan,4.13,3.84,3.84,3.84,4.28,4.13,4.47,4.46,,,
"August 10, 2019",Finals,The Jukebox,Mexico,3.97,3.69,3.55,3.61,4.23,4.02,4.20,4.24,,,
"August 10, 2019",Finals,Legit Status,Philippines,4.07,3.67,3.72,3.72,4.03,3.95,4.21,3.97,,,
"August 10, 2019",Finals,The Royal Family,New Zealand,3.94,3.79,3.45,3.57,3.82,3.84,3.80,3.78,,,
"August 10, 2019",Finals,La Docta,Argentina,3.87,3.50,3.10,3.57,4.10,3.72,3.92,3.77,,,
"August 10, 2019",Finals,J.B.Star,Japan,3.90,3.50,3.41,3.40,3.90,3.82,4.06,3.91,0.05,,Deductions: Attire not Intact - 0.05
"August 10, 2019",Finals,Klimax,Spain,3.56,3.36,3.50,3.21,3.79,3.69,3.79,3.66,,,
"August 10, 2019",Finals,C-Fam,Netherlands,3.85,3.34,3.17,3.24,3.83,3.61,3.62,3.42,,,
